"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2018-12-12";532;18,83;0;0;532;13,8
"2018-12-13";436;34,25;0;0;436;25,1
"2018-12-14";221;42,07;18;1,75;239;31,3
"2018-12-15";132;46,74;0;1,75;132;34,73
"2018-12-16";199;53,79;0;1,75;199;39,89
"2018-12-17";138;58,67;207;21,84;345;48,83
"2018-12-18";97;62,1;60;27,67;157;52,9
"2018-12-19";81;64,97;165;43,69;246;59,28
"2018-12-20";166;70,84;52;48,74;218;64,94
"2018-12-21";87;73,92;84;56,89;171;69,37
"2018-12-22";61;76,08;0;56,89;61;70,95
"2018-12-23";51;77,88;0;56,89;51;72,28
"2018-12-24";25;78,77;0;56,89;25;72,93
"2018-12-25";31;79,87;0;56,89;31;73,73
"2018-12-26";35;81,1;0;56,89;35;74,64
"2018-12-27";31;82,2;89;65,53;120;77,75
"2018-12-28";36;83,47;38;69,22;74;79,67
"2018-12-29";23;84,29;0;69,22;23;80,26
"2018-12-30";23;85,1;0;69,22;23;80,86
"2018-12-31";20;85,81;0;69,22;20;81,38
"2019-01-01";12;86,23;0;69,22;12;81,69
"2019-01-02";25;87,12;33;72,43;58;83,2
"2019-01-03";22;87,9;29;75,24;51;84,52
"2019-01-04";18;88,54;46;79,71;64;86,18
"2019-01-05";16;89,1;0;79,71;16;86,59
"2019-01-06";18;89,74;0;79,71;18;87,06
"2019-01-07";19;90,41;49;84,47;68;88,82
"2019-01-08";16;90,98;8;85,24;24;89,45
"2019-01-09";17;91,58;15;86,7;32;90,27
"2019-01-10";51;93,38;10;87,67;61;91,86
"2019-01-11";24;94,23;7;88,35;31;92,66
"2019-01-12";13;94,69;0;88,35;13;93
"2019-01-13";18;95,33;0;88,35;18;93,46
"2019-01-14";20;96,04;21;90,39;41;94,53
"2019-01-15";11;96,43;3;90,68;14;94,89
"2019-01-16";9;96,74;13;91,94;22;95,46
"2019-01-17";7;96,99;8;92,72;15;95,85
"2019-01-18";3;97,1;6;93,3;9;96,08
"2019-01-19";5;97,28;0;93,3;5;96,21
"2019-01-20";9;97,59;0;93,3;9;96,45
"2019-01-21";3;97,7;14;94,66;17;96,89
"2019-01-22";3;97,81;3;94,95;6;97,04
"2019-01-23";9;98,12;6;95,53;15;97,43
"2019-01-24";2;98,2;1;95,63;3;97,51
"2019-01-25";3;98,3;4;96,02;7;97,69
"2019-01-26";1;98,34;0;96,02;1;97,72
"2019-01-27";6;98,55;0;96,02;6;97,87
"2019-01-28";10;98,9;8;96,8;18;98,34
"2019-01-29";7;99,15;1;96,89;8;98,55
"2019-01-30";5;99,33;7;97,57;12;98,86
"2019-01-31";10;99,68;8;98,35;18;99,33
"2019-02-01";2;99,75;0;98,35;2;99,38
"2019-02-02";1;99,79;0;98,35;1;99,4
"2019-02-04";2;99,86;9;99,22;11;99,69
"2019-02-05";1;99,89;0;99,22;1;99,71
"2019-02-06";1;99,93;1;99,32;2;99,77
"2019-02-07";1;99,96;0;99,32;1;99,79
"2019-02-08";0;99,96;2;99,51;2;99,84
"2019-02-10";1;100;0;99,51;1;99,87
"2019-02-11";0;100;5;100;5;100
